FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
141001;0000;9,58333;;;
141002;0000;7,625;;;
141003;0000;6,95833;;;
141004;0000;7,375;;;
141005;0000;4,45833;;;
141006;0000;5,875;;;
141007;0000;6,125;;;
141008;0000;6,26086;;;
141009;0000;8,04166;;;
141010;0000;11,0833;;;
141011;0000;15,0417;;;
141012;0000;17,125;;;
141013;0000;13,2917;;;
141014;0000;16,8333;;;
141015;0000;16,3333;;;
141016;0000;10,7083;;;
141017;0000;14,4583;;;
141018;0000;10,875;;;
141019;0000;8,16666;;;
141020;0000;12,6087;;;
141021;0000;15,0417;;;
141022;0000;16,0833;;;
141023;0000;15,125;;;
141024;0000;13,5833;;;
141025;0000;11,7917;;;
141026;0000;5,91666;;;
141027;0000;7,70833;;;
141028;0000;7,41666;;;
141029;0000;8,125;;;
141030;0000;9,5;;;
141031;0000;7,61366;;;
141101;0000;7,6265;;;
141102;0000;8,34332;;;
141103;0000;8,03827;;;
141104;0000;9,43915;;;
141105;0000;12,8649;;;
141106;0000;8,01663;;;
141107;0000;11,6042;;;
141108;0000;11,666;;;
141109;0000;10,4193;;;
141110;0000;11,7612;;;
141111;0000;9,5042;;;
141112;0000;9,81549;;;
141113;0000;10,1982;;;
141114;0000;8,63324;;;
141115;0000;9,01903;;;
141116;0000;9,13649;;;
141117;0000;10,6609;;;
141118;0000;7,36233;;;
141119;0000;6,03366;;;
141120;0000;5,55333;;;
141121;0000;5,60762;;;
141122;0000;6,73024;;;
141123;0000;7,47115;;;
141124;0000;6,49283;;;
141125;0000;;;6,39415;
141126;0000;8,6779;;;
141127;0000;8,80978;;;
141128;0000;7,93882;;;
141129;0000;6,59799;;;
141130;0000;6,28499;;;
141201;0000;9,02866;;;
141202;0000;10,1264;;;
141203;0000;10,5789;;;
141204;0000;16,3629;;;
141205;0000;14,3003;;;
141206;0000;7,94341;;;
141207;0000;5,7352;;;
141208;0000;6,85895;;;
141209;0000;11,7356;;;
141210;0000;7,80107;;;
141211;0000;7,87303;;;
141212;0000;7,4449;;;
141213;0000;5,42795;;;
141214;0000;6,71603;;;
141215;0000;5,87362;;;
141216;0000;5,81941;;;
141217;0000;5,12737;;;
141218;0000;6,88879;;;
141219;0000;9,37242;;;
141220;0000;8,02032;;;
141221;0000;5,75712;;;
141222;0000;7,11124;;;
141223;0000;9,84474;;;
141224;0000;9,73486;;;
141225;0000;8,58502;;;
141226;0000;6,5767;;;
141227;0000;6,34986;;;
141228;0000;5,74895;;;
141229;0000;8,91219;;;
141230;0000;8,82861;;;
141231;0000;19,6281;;;
150101;0000;11,5833;;;
150102;0000;10,9583;;;
150103;0000;8,95833;;;
150104;0000;6,29166;;;
150105;0000;7,875;;;
150106;0000;7,625;;;
150107;0000;6,33333;;;
150108;0000;6,58333;;;
150109;0000;6,79166;;;
150110;0000;6,625;;;
150111;0000;7,125;;;
150112;0000;5,95833;;;
150113;0000;8;;;
150114;0000;8,5;;;
150115;0000;8,5;;;
150116;0000;6,625;;;
150117;0000;7,33333;;;
150118;0000;7,125;;;
150119;0000;13,1667;;;
150120;0000;10;;;
150121;0000;7,25;;;
150122;0000;6,17391;;;
150123;0000;6,54166;;;
150124;0000;8,54166;;;
150125;0000;6;;;
150126;0000;4,95833;;;
150127;0000;6,125;;;
150128;0000;6,5;;;
150129;0000;;;;
150130;0000;6,70833;;;
150131;0000;8,90475;;;
150201;0000;4,875;;;
150202;0000;6,95833;;;
150203;0000;9,58333;;;
150204;0000;8,79166;;;
150205;0000;10,4167;;;
150206;0000;8,5;;;
150207;0000;8,75;;;
150208;0000;6,45833;;;
150209;0000;7,91666;;;
150210;0000;6,22222;;;
150211;0000;5,0909;;;
150212;0000;6,54166;;;
150213;0000;5,91666;;;
150214;0000;6,66666;;;
150215;0000;9,16666;;;
150216;0000;9,875;;;
150217;0000;10,5417;;;
150218;0000;8,125;;;
150219;0000;10,1667;;;
150220;0000;11,8333;;;
150221;0000;11;;;
150222;0000;8;;;
150223;0000;6,83333;;;
150224;0000;7,20833;;;
150225;0000;6,83333;;;
150226;0000;9,16666;;;
150227;0000;7,5;;;
150228;0000;6,08333;;;
150301;0000;6,89999;;;
150302;0000;;;;
150303;0000;5;;;
150304;0000;8,875;;;
150305;0000;7,54166;;;
150306;0000;8,25;;;
150307;0000;11,1667;;;
150308;0000;5,04166;;;
150309;0000;10,2083;;;
150310;0000;11,2083;;;
150311;0000;15,0417;;;
150312;0000;12,2083;;;
150313;0000;13,0833;;;
150314;0000;11,4583;;;
150315;0000;9,625;;;
150316;0000;13,375;;;
150317;0000;10,3333;;;
150318;0000;7,41666;;;
150319;0000;5,66666;;;
150320;0000;6,83333;;;
150321;0000;6,70833;;;
150322;0000;9,45833;;;
150323;0000;10,375;;;
150324;0000;6,08333;;;
150325;0000;4,625;;;
150326;0000;8,5;;;
150327;0000;17,25;;;
150328;0000;10,2917;;;
150329;0000;;;;
150330;0000;11,4583;;;
150331;0000;12,2083;;;
150401;0000;13,25;;;
150402;0000;11,2917;;;
150403;0000;8,70833;;;
150404;0000;9,375;;;
150405;0000;7;;;
150406;0000;9,125;;;
150407;0000;8,70833;;;
150408;0000;;;;
150409;0000;6,75;;;
150410;0000;11,4167;;;
150411;0000;15,0417;;;
150412;0000;16,25;;;
150413;0000;16,1667;;;
150414;0000;8,91666;;;
150415;0000;11,9167;;;
150416;0000;13,7917;;;
150417;0000;11;;;
150418;0000;14,75;;;
150419;0000;15,15;;;
150420;0000;;;;
150421;0000;8,70833;;;
150422;0000;9,08333;;;
150423;0000;11,2083;;;
150424;0000;11,1667;;;
150425;0000;13,7083;;;
150426;0000;13,5417;;;
150427;0000;9,29166;;;
150428;0000;;;;
150429;0000;;;;
150430;0000;23,5833;;;
150501;0000;24,7917;;;
150502;0000;22,1667;;;
150503;0000;19,75;;;
150504;0000;16,5454;;;
150505;0000;16,7083;;;
150506;0000;19,4167;;;
150507;0000;19,0417;;;
150508;0000;18,9167;;;
150509;0000;12,9583;;;
150510;0000;15,3333;;;
150511;0000;19,4167;;;
150512;0000;22;;;
150513;0000;15,9583;;;
150514;0000;18,0833;;;
150515;0000;16,5641;;;
150516;0000;18,3827;;;
150517;0000;11,2069;;;
150518;0000;14,5071;;;
150519;0000;15,2946;;;
150520;0000;10,9644;;;
150521;0000;10,01;;;
150522;0000;11,5046;;;
150523;0000;11,8161;;;
150524;0000;12,5485;;;
150525;0000;17,89;;;
150526;0000;15,3384;;;
150527;0000;13,4073;;;
150528;0000;14,6512;;;
150529;0000;13,5316;;;
150530;0000;13,4004;;;
150531;0000;15,5392;;;
150601;0000;14,0721;;;
150602;0000;18,1662;;;
150603;0000;24,8029;;;
150604;0000;;;;
150605;0000;;;;
150606;0000;26,8404;;;
150607;0000;28,9933;;;
150608;0000;24,8946;;;
150609;0000;20,6175;;;
150610;0000;19,2533;;;
150611;0000;19,5541;;;
150612;0000;18,8268;;;
150613;0000;15,2242;;;
150614;0000;13,9921;;;
150615;0000;16,9104;;;
150616;0000;19,63;;;
150617;0000;17,935;;;
150618;0000;16,9724;;;
150619;0000;23,2441;;;
150620;0000;29,8475;;;
150621;0000;25,1245;;;
150622;0000;22,6291;;;
150623;0000;20,1286;;;
150624;0000;22,2591;;;
150625;0000;15,4436;;;
150626;0000;19,3159;;;
150627;0000;19,6646;;;
150628;0000;19,1796;;;
150629;0000;15,0864;;;
150630;0000;17,1529;;;
150701;0000;19,2325;;;
150702;0000;20,5104;;;
150703;0000;20,2666;;;
150704;0000;18,1929;;;
150705;0000;15,5587;;;
150706;0000;18,215;;;
150707;0000;10,6538;;;
150708;0000;12,7885;;;
150709;0000;18,9946;;;
150710;0000;19,58;;;
150711;0000;14,176;;;
150712;0000;20,0491;;;
150713;0000;10,0237;;;
150714;0000;7,33058;;;
150715;0000;10,9177;;;
150716;0000;10,5571;;;
150717;0000;15,469;;;
150718;0000;15,4672;;;
150719;0000;11,0149;;;
150720;0000;11,7949;;;
150721;0000;13,5096;;;
150722;0000;17,8078;;;
150723;0000;17,0422;;;
150724;0000;15,488;;;
150725;0000;16,5849;;;
150726;0000;;;;
150727;0000;;;;
150728;0000;12,0087;;;
150729;0000;13,995;;;
150730;0000;14,0489;;;
150731;0000;12,2498;;;
150801;0000;15,5793;;;
150802;0000;14,7993;;;
150803;0000;20,1804;;;
150804;0000;18,8983;;;
150805;0000;21,774;;;
150806;0000;18,972;;;
150807;0000;19,4604;;;
150808;0000;12,119;;;
150809;0000;4,67608;;;
150810;0000;8,46794;;;
150811;0000;11,9321;;;
150812;0000;11,1175;;;
150813;0000;11,9667;;;
150814;0000;8,19319;;;
150815;0000;14,5549;;;
150816;0000;12,2517;;;
150817;0000;13,4014;;;
150818;0000;15,6829;;;
150819;0000;22,6887;;;
150820;0000;16,1266;;;
150821;0000;13,4888;;;
150822;0000;9,08678;;;
150823;0000;11,818;;;
150824;0000;17,2332;;;
150825;0000;15,9197;;;
150826;0000;12,8092;;;
150827;0000;18,5858;;;
150828;0000;21,4671;;;
150829;0000;15,2524;;;
150830;0000;19,0183;;;
150831;0000;21,4937;;;
150901;0000;23,9785;;;
150902;0000;18,3813;;;
150903;0000;17,4635;;;
150904;0000;16,704;;;
150905;0000;11,1324;;;
150906;0000;10,121;;;
150907;0000;8,76474;;;
150908;0000;9,87053;;;
150909;0000;7,58237;;;
150910;0000;7,78553;;;
150911;0000;12,677;;;
150912;0000;13,1056;;;
150913;0000;19,6456;;;
150914;0000;16,6523;;;
150915;0000;12,6825;;;
150916;0000;;;;
150917;0000;9,31311;;;
150918;0000;9,27841;;;
150919;0000;10,8395;;;
150920;0000;13,2899;;;
150921;0000;10,1809;;;
150922;0000;8,51982;;;
150923;0000;9,35185;;;
150924;0000;7,37266;;;
150925;0000;15,9192;;;
150926;0000;9,18748;;;
150927;0000;12,035;;;
150928;0000;18,8318;;;
150929;0000;15,7407;;;
150930;0000;15,286;;;
