Dia - Mes,Temperatura media,Fecha Momento minima,Temperatura minima,Fecha Momento maxima,Temperatura maxima
181014,15.5,101014,10.3,031014,22.9
181015,15.5,111014,11.1,031015,20.8
181016,15.4,181016,10.6,141016,21.1
181017,15.5,111017,10.6,141017,21.1
181018,15.6,.,10.4,151018,21.7
181019,15.6,901019,11.2,971019,20.8
181020,15.8,111020,12.1,911020,21.1
181021,15.7,901021,11.1,031021,21.3
181022,16.0,121022,11.9,991022,21.4
181023,15.9,071023,10.9,011023,21.0
181024,16.0,001024,10.9,971024,20.1
181025,15.9,981025,12.0,141025,21.4
181026,16.1,171026,12.8,931026,22.8
181027,16.2,901027,12.6,891027,22.0
181028,16.3,111028,12.1,961028,21.2
181029,16.3,001029,12.2,091029,22.4
181030,16.3,071030,10.8,091030,22.3
181031,16.3,941031,11.4,991031,22.6
181101,16.4,931101,12.0,091101,23.6
181102,16.4,001102,10.8,941102,23.4
181103,16.5,011103,11.8,941103,21.7
181104,16.5,991104,12.7,161104,22.5
181105,16.6,071105,11.0,921105,21.1
181106,16.6,891106,12.7,981106,20.8
181107,16.8,071107,12.9,931107,22.6
181108,16.9,021108,12.8,971108,21.5
181109,16.8,111109,13.8,971109,21.3
181110,16.8,991110,13.4,971110,22.4
181111,16.8,021111,11.1,921111,22.9
181112,16.9,001112,12.0,081112,21.6
181113,17.0,041113,12.7,081113,21.9
181114,16.9,131114,12.2,081114,21.1
181115,17.1,911115,11.7,081115,21.4
181116,16.9,001116,11.4,971116,21.6
181117,17.0,001117,11.0,131117,21.4
181118,17.1,091118,12.3,921118,24.5
181119,17.3,941119,13.0,971119,21.6
181120,17.4,131120,13.4,961120,22.5
181121,17.3,011121,12.0,161121,22.2
181122,17.5,991122,12.8,031122,22.5
181123,17.7,961123,14.4,951123,21.9
181124,17.6,101124,12.8,971124,23.1
181125,17.7,931125,12.8,961125,23.5
181126,17.8,071126,12.8,031126,23.3
181127,17.7,011127,12.6,031127,22.6
181128,17.7,011128,12.9,031128,22.6
181129,17.8,011129,12.6,971129,22.9
181130,17.9,121130,13.4,971130,22.9
181201,17.7,071201,13.4,971201,22.4
181202,18.2,071202,13.8,971202,23.1
181203,18.1,991203,12.3,121203,23.9
181204,18.2,991204,13.3,131204,23.9
181205,18.1,991205,12.5,921205,23.5
181206,18.1,951206,13.9,911206,23.6
181207,18.1,051207,12.1,971207,23.7
181208,18.2,051208,12.7,971208,24.0
181209,18.2,071209,12.5,971209,25.1
181210,18.3,051210,13.0,971210,25.0
181211,18.1,071211,13.6,971211,24.4
181212,18.3,021212,13.3,971212,24.5
181213,18.6,901213,13.8,971213,25.1
181214,18.5,901214,13.0,041214,24.6
181215,18.6,071215,13.7,041215,25.2
181216,18.5,071216,12.8,971216,25.4
181217,18.8,071217,13.0,971217,25.4
181218,18.8,911218,14.0,011218,27.8
181219,18.8,981219,14.7,971219,24.7
181220,19.1,901220,13.7,001220,24.7
181221,19.0,951221,14.3,971221,25.3
181222,19.0,141222,13.8,971222,25.5
181223,19.0,951223,14.2,941223,25.0
181224,19.0,021224,13.2,971224,24.9
181225,19.2,141225,14.6,971225,25.6
181226,19.3,961226,14.0,971226,25.7
181227,19.4,121227,13.3,971227,25.6
181228,19.4,031228,14.2,971228,25.9
181229,19.4,121229,14.1,971229,25.5
181230,19.6,141230,14.3,961230,25.2
181231,19.6,021231,14.0,061231,26.3
190101,19.7,130101,14.9,070101,27.7
190102,19.7,030102,14.9,070102,25.0
190103,19.8,970103,15.0,980103,25.1
190104,19.8,930104,15.0,980104,25.5
190105,20.0,030105,14.8,170105,26.8
190106,20.0,940106,15.0,170106,25.8
190107,20.0,130107,14.6,980107,27.9
190108,20.1,130108,14.7,140108,27.2
190109,20.1,110109,14.9,140109,26.5
190110,20.0,960110,14.5,950110,25.9
190111,20.0,110111,15.0,050111,26.7
190112,20.1,950112,15.0,980112,26.0
190113,20.2,120113,15.1,950113,26.6
190114,20.2,990114,14.7,980114,26.1
190115,20.4,120115,15.0,980115,26.3
190116,20.4,120116,14.7,170116,26.8
190117,20.5,120117,15.3,980117,31.8
190118,20.5,990118,14.0,080118,27.4
190119,20.4,990119,14.7,170119,28.6
190120,20.4,110120,14.5,170120,27.7
190121,20.4,990121,14.7,170121,30.3
190122,20.4,960122,15.3,170122,28.3
190123,20.3,910123,15.5,170123,28.4
190124,20.4,020124,13.6,950124,26.4
190125,20.3,090125,15.3,170125,26.1
190126,20.3,020126,14.8,170126,29.3
190127,20.3,050127,15.3,170127,27.5
190128,20.5,070128,15.1,190128,27.2
190129,20.6,070129,14.7,030129,27.3
190130,20.5,970130,15.2,030130,28.2
190131,20.4,050131,13.8,160131,26.4
190201,20.5,050201,12.9,170201,27.0
190202,20.3,050202,12.9,170202,27.6
190203,20.3,050203,14.5,980203,26.0
190204,20.4,050204,14.0,980204,26.0
190205,20.4,970205,14.9,130205,26.0
190206,20.5,120206,14.7,900206,27.9
190207,20.3,050207,14.2,190207,25.6
190208,20.2,050208,14.5,130208,26.1
190209,20.2,000209,14.8,980209,26.8
190210,20.3,.,14.7,980210,26.7
190211,20.3,000211,15.1,120211,25.6
190212,20.1,960212,15.4,120212,27.5
190213,20.2,000213,15.0,010213,25.0
190214,20.2,050214,14.6,060214,26.8
190215,20.2,960215,14.7,060215,26.1
190216,20.2,960216,15.2,100216,25.6
190217,20.0,050217,14.9,010217,25.1
190218,20.1,000218,14.7,090218,25.7
190219,20.0,000219,14.9,150219,29.1
190220,20.1,900220,15.1,980220,25.6
190221,20.0,130221,14.3,980221,27.7
190222,20.0,910222,15.0,160222,28.0
190223,19.9,070223,14.9,170223,27.6
