FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
150711;0000;41,8774;;;
150712;0000;42,0699;;;
150713;0000;32,782;;;
150714;0000;32,0681;;;
150715;0000;54,5386;;;
150716;0000;44,8604;;;
150717;0000;45,6762;;;
150718;0000;40,8657;;;
150719;0000;31,6764;;;
150720;0000;42,8216;;;
150721;0000;52,3421;;;
150722;0000;64,1982;;;
150723;0000;48,4737;;;
150724;0000;42,6283;;;
150725;0000;41,0412;;;
150726;0000;;;30,4522;
150727;0000;44,4012;;;
150728;0000;45,3749;;;
150729;0000;48,7281;;;
150730;0000;53,6312;;;
150731;0000;49,0632;;;
150801;0000;44,7424;;;
150802;0000;37,5654;;;
150803;0000;53,5182;;;
150804;0000;50,8841;;;
150805;0000;58,4279;;;
150806;0000;46,5099;;;
150807;0000;49,9724;;;
150808;0000;38,1154;;;
150809;0000;20,9108;;;
150810;0000;47,6645;;;
150811;0000;43,0137;;;
150812;0000;48,5224;;;
150813;0000;49,7346;;;
150814;0000;43,7408;;;
150815;0000;43,2274;;;
150816;0000;36,5358;;;
150817;0000;51,6332;;;
150818;0000;60,1245;;;
150819;0000;68,8074;;;
150820;0000;45,2207;;;
150821;0000;43,0704;;;
150822;0000;31,6337;;;
150823;0000;33,1766;;;
150824;0000;47,4516;;;
150825;0000;43,1086;;;
150826;0000;50,0057;;;
150827;0000;56,2778;;;
150828;0000;59,1203;;;
150829;0000;37,6195;;;
150830;0000;41,3966;;;
150831;0000;;;40,0433;
150901;0000;;;23,9785;
150902;0000;;;36,9492;
150903;0000;43,4462;;;
150904;0000;43,772;;;
150905;0000;40,8287;;;
150906;0000;33,5558;;;
150907;0000;36,102;;;
150908;0000;52,3691;;;
150909;0000;40,3858;;;
150910;0000;39,5054;;;
150911;0000;49,7012;;;
150912;0000;55,0807;;;
150913;0000;48,8129;;;
150914;0000;47,3983;;;
150915;0000;48,2174;;;
150916;0000;39,8483;;;
150917;0000;26,9704;;;
150918;0000;26,0929;;;
150919;0000;28,7079;;;
150920;0000;32,54;;;
150921;0000;30,862;;;
150922;0000;29,7062;;;
150923;0000;31,5191;;;
150924;0000;42,5012;;;
150925;0000;80,6123;;;
150926;0000;42,0591;;;
150927;0000;36,7462;;;
150928;0000;47,5012;;;
150929;0000;41,8762;;;
150930;0000;41,2508;;;
151001;0000;33,1895;;;
151002;0000;29,3258;;;
151003;0000;30,4491;;;
151004;0000;19,3891;;;
151005;0000;32,907;;;
151006;0000;35,1616;;;
151007;0000;48,127;;;
151008;0000;46,667;;;
151009;0000;45,6049;;;
151010;0000;36,9308;;;
151011;0000;36,1583;;;
151012;0000;37,8441;;;
151013;0000;40,2116;;;
151014;0000;42,872;;;
151015;0000;51,4349;;;
151016;0000;42,7785;;;
151017;0000;37,1758;;;
151018;0000;31,3316;;;
151019;0000;32,0574;;;
151020;0000;38,4028;;;
151021;0000;36,2883;;;
151022;0000;40,382;;;
151023;0000;35,6074;;;
151024;0000;33,1416;;;
151025;0000;23,7016;;;
151026;0000;29,925;;;
151027;0000;35,9391;;;
151028;0000;33,45;;;
151029;0000;32,5991;;;
151030;0000;35,8166;;;
151031;0000;24,6796;;;
151101;0000;26,9841;;;
151102;0000;33,3279;;;
151103;0000;37,0366;;;
151104;0000;49,7062;;;
